Unnamed: 0,playId,gameId,nflId,displayName,frameId,time,club,x,y,s,a,dis,o,dir,ballCarrierId,ballCarrierDisplayName,quarter,down,yardsToGo,possessionTeam,defensiveTeam,gameClock,playResult,expectedPoints,expectedPointsAdded,tackle,assist,startPosition,yardsGainedSoFar,playDirection,offense,defense,hasBall,whereBallCarrierY,whereBallCarrierX,distanceFromBC,DefenseOrOffense,uniqueId,modelPrediction,points_saved,height,weight,position
2288,56,2022090800,43294.0,Jalen Ramsey,18,2022-09-08 20:24:06.900000,LA,78.66,33.87,1.1,3.17,0.12,116.19,127.74,42489,Stefon Diggs,1,1,10,BUF,LA,15:00,6,1.298698674,0.004420402,1.0,0.0,85.0500030517578,-6.889999389648395,left,0,1,0,33.85,79.33,0.6702984409947573,Def80,1,0.6972239,0.6928034997486572,6-1,208,CB
2574,80,2022090800,53532.0,Ernest Jones,26,2022-09-08 20:24:38.200000,LA,72.96,42.23,5.62,1.95,0.56,336.48,327.47,46076,Josh Allen,1,2,4,BUF,LA,14:29,7,1.303119077,0.823570507,1.0,0.0,83.4700012207031,-10.3400039672851,left,0,1,0,42.57,73.1,0.3676955262170081,Def80,2,0.49954927,-0.3240212373237915,6-2,230,ILB
4548,101,2022090800,42816.0,Troy Hill,45,2022-09-08 20:25:12.599999,LA,69.08,39.5,1.8,4.97,0.2,210.96,198.3,47857,Devin Singletary,1,1,10,BUF,LA,13:54,7,2.126689584,0.562363489,1.0,0.0,72.0299987792969,-5.6399993896485086,left,0,1,0,40.15,66.69,2.476812467668879,Def82,3,0.54499245,-0.0173710421005859,5-11,184,CB
2783,122,2022090800,38577.0,Bobby Wagner,29,2022-09-08 20:25:53.799999,LA,60.31,47.9,3.19,2.9,0.33,245.75,289.12,47857,Devin Singletary,1,2,3,BUF,LA,13:15,6,2.689053073,0.399208847,1.0,0.0,72.5400009155273,-12.680000305175705,left,0,1,0,47.51,59.89,0.5731491952362857,Def80,4,1.3804331,0.9812242355805664,6-0,242,ILB
3774,167,2022090800,43298.0,Leonard Floyd,18,2022-09-08 20:27:12.099999,LA,46.84,25.08,4.16,6.63,0.46,221.59,237.47,42489,Stefon Diggs,1,2,8,BUF,LA,11:54,12,2.574206113,1.373440937,1.0,0.0,57.5200004577637,-11.930000305175804,left,0,1,0,24.07,45.61,1.591540134586623,Def82,6,1.338095,-0.0353459872777099,6-5,240,DE
5088,191,2022090800,52492.0,Terrell Lewis,47,2022-09-08 20:27:46.700000,LA,44.68,41.85,1.34,1.64,0.14,273.63,325.19,52494,Zack Moss,1,1,10,BUF,LA,11:20,1,3.94764705,-0.413324968,1.0,0.0,45.0299987792969,-1.0299987792969034,left,0,1,0,42.32,43.81,0.988837701546616,Def82,7,0.12591219,0.5392371574836425,6-5,252,OLB
2787,212,2022090800,38577.0,Bobby Wagner,12,2022-09-08 20:28:26.799999,LA,35.32,50.17,6.8,4.19,0.7,6.31,327.66,52494,Zack Moss,1,2,9,BUF,LA,10:42,8,3.534322082,0.547352207,1.0,0.0,42.6300010681152,-7.220001220703097,left,0,1,0,50.03,35.3,0.1414213562373105,Def80,8,0.50975627,-0.0375959399292297,6-0,242,ILB
7927,299,2022090800,53459.0,Gregory Rousseau,49,2022-09-08 20:33:35.299999,BUF,31.37,31.25,1.71,2.37,0.21,278.98,25.11,47853,Darrell Henderson,1,1,10,LA,BUF,9:52,5,0.723415662,-0.105841165,1.0,0.0,26.7199993133545,5.460000991821303,right,0,1,0,30.4,32.27,1.2379418403139972,Def82,9,0.5683086,0.6741497568426513,6-7,253,DE
7465,343,2022090800,46085.0,Tremaine Edmunds,35,2022-09-08 20:34:35.700000,BUF,28.64,29.31,2.13,1.11,0.19,246.3,209.22,47853,Darrell Henderson,1,2,10,LA,BUF,9:04,2,0.070933475,-0.737179452,1.0,0.0,26.6900005340576,1.6099987030029013,right,0,1,0,29.1,28.33,0.3744329045369814,Def80,10,0.27018267,1.00736212116275,6-5,250,ILB
9312,393,2022090800,46232.0,Tim Settle,52,2022-09-08 20:36:03.700000,BUF,53.06,20.15,1.68,1.91,0.18,233.55,159.4,47853,Darrell Henderson,1,1,10,LA,BUF,7:45,1,2.458135517,-0.386335469,1.0,0.0,51.7999992370605,0.75,right,0,1,0,21.21,52.5,1.1988327656516595,Def81,11,0.33634228,0.7226777441426697,6-3,308,DT
9094,414,2022090800,52647.0,Dane Jackson,35,2022-09-08 20:36:27.099999,BUF,59.73,4.14,2.58,3.4,0.27,232.65,258.91,43399,Tyler Higbee,1,2,9,LA,BUF,7:23,10,2.071800048,1.086404234,1.0,0.0,46.5400009155273,15.610000610351598,right,0,1,0,2.82,62.46,3.032375306587234,Def82,12,-0.49685365,-1.5832578836162414,5-11,185,CB
8510,486,2022090800,40166.0,Jordan Poyer,25,2022-09-08 20:37:58.700000,BUF,60.74,20.49,2.31,1.13,0.23,30.26,308.98,44881,Cooper Kupp,1,3,14,LA,BUF,5:53,6,0.82571945,-1.041838478,1.0,0.0,55.9000015258789,4.489997863769503,right,0,1,0,20.34,60.37,0.3992492955535462,Def80,13,1.349617,2.391455482394531,6-0,191,SS
4554,529,2022090800,42816.0,Troy Hill,50,2022-09-08 20:41:41.400000,LA,95.1,33.86,1.62,1.7,0.17,269.37,303.38,47857,Devin Singletary,1,1,10,BUF,LA,5:06,7,0.237595047,0.168697491,1.0,0.0,101.269996643066,-6.979995727538693,left,0,1,0,34.49,94.16,1.1315917991926236,Def82,14,0.8445692,0.675871715237793,5-11,184,CB
4272,569,2022090800,48026.0,Nick Scott,8,2022-09-08 20:43:00.099999,LA,86.28,37.55,5.04,1.85,0.5,309.22,350.27,42489,Stefon Diggs,1,3,4,BUF,LA,3:46,10,-0.769597428,2.012058524,1.0,0.0,92.25,-6.25,left,0,1,0,37.15,85.48,0.8944271909999126,Def80,15,1.183011,-0.8290474690073242,5-11,200,SS
2299,617,2022090800,43294.0,Jalen Ramsey,16,2022-09-08 20:44:16.200000,LA,61.87,0.71,2.56,4.24,0.28,179.21,166.47,44985,Isaiah McKenzie,1,1,10,BUF,LA,2:32,12,1.964467567,0.741917429,1.0,0.0,67.9599990844727,-6.209999084472699,left,0,1,0,0.17,61.83,0.5414794548272353,Def80,17,1.4006265,0.658709111184021,6-1,208,CB
4767,646,2022090800,47939.0,Justin Hollins,34,2022-09-08 20:44:55.799999,LA,58.4,2.59,3.35,2.96,0.36,268.37,200.44,47879,Dawson Knox,1,1,10,BUF,LA,1:53,20,2.706384996,1.352468693,1.0,0.0,66.5699996948242,-8.889999389648402,left,0,1,0,1.92,57.61,1.0358571330062842,Def81,18,0.32966244,-1.0228062507926636,6-5,248,OLB
2793,692,2022090800,38577.0,Bobby Wagner,33,2022-09-08 20:46:05.000000,LA,38.29,39.1,2.85,2.63,0.23,126.33,127.31,42489,Stefon Diggs,1,1,10,BUF,LA,1:25,3,4.058853689,-0.276642306,1.0,0.0,42.3199996948242,-3.0900001525878977,left,0,1,0,38.69,39.16,0.9617692030835664,Def80,19,0.06628648,0.3429287879169044,6-0,242,ILB
7469,775,2022090800,46085.0,Tremaine Edmunds,17,2022-09-08 20:50:17.000000,BUF,38.83,19.34,0.83,2.84,0.08,251.21,358.98,44881,Cooper Kupp,1,2,10,LA,BUF,0:17,6,0.412995047,-0.200449469,1.0,0.0,36.6500015258789,2.209999084472699,right,0,1,0,19.9,38.83,0.5599999999999987,Def80,20,0.278606,0.4790554665624084,6-5,250,ILB
9037,818,2022090800,40107.0,Micah Hyde,26,2022-09-08 20:53:28.000000,BUF,80.88,6.83,0.2,2.9,0.0,252.36,159.39,47853,Darrell Henderson,2,3,4,LA,BUF,15:00,1,0.215740964,-1.372731457,1.0,0.0,84.8899993896484,-5.419998168945298,left,0,1,0,5.91,79.49,1.6668833192518309,Def81,21,0.2474764,1.6202078559448547,6-0,197,FS
8790,933,2022090800,47792.0,Ed Oliver,65,2022-09-08 20:57:00.799999,BUF,52.99,27.43,2.1,1.55,0.23,108.3,123.83,52460,Cam Akers,2,1,10,LA,BUF,13:24,0,3.640059246,-0.489963613,1.0,0.0,46.0499992370605,5.490001678466804,left,0,1,0,27.33,53.79,0.8062257748298522,Def80,22,2.1263022,2.6162658552790528,6-1,287,DT
